Split,Fruit,FileName,SizeBytes,BitDepth,Width,Height,HPPI,VPPI
train,Apple Granny Smith,Apple Granny Smith_0.jpg,4274,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_1.jpg,4111,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_10.jpg,4123,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_100.jpg,4249,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_101.jpg,4037,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_102.jpg,4341,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_103.jpg,3993,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_104.jpg,4066,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_105.jpg,4209,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_106.jpg,4041,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_107.jpg,4222,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_108.jpg,4031,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_109.jpg,4119,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_11.jpg,4040,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_110.jpg,4080,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_111.jpg,3998,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_112.jpg,4095,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_113.jpg,4035,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_114.jpg,4018,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_115.jpg,4426,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_116.jpg,4109,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_117.jpg,4161,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_118.jpg,4133,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_119.jpg,4361,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_12.jpg,4248,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_120.jpg,4079,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_121.jpg,3924,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_122.jpg,3984,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_123.jpg,4443,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_124.jpg,3791,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_125.jpg,3987,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_126.jpg,4187,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_127.jpg,4103,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_128.jpg,4104,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_129.jpg,4153,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_13.jpg,4030,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_130.jpg,4236,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_131.jpg,4054,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_132.jpg,4237,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_133.jpg,4041,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_134.jpg,4463,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_135.jpg,4390,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_136.jpg,4211,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_137.jpg,4138,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_138.jpg,4150,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_139.jpg,4082,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_14.jpg,4214,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_140.jpg,4454,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_141.jpg,4015,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_142.jpg,4445,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_143.jpg,4248,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_144.jpg,4304,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_145.jpg,4331,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_146.jpg,4151,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_147.jpg,4097,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_148.jpg,3995,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_149.jpg,4105,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_15.jpg,4108,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_150.jpg,4125,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_151.jpg,3938,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_152.jpg,4020,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_153.jpg,4097,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_154.jpg,4060,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_155.jpg,4007,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_156.jpg,4067,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_157.jpg,4363,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_158.jpg,4038,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_159.jpg,4031,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_16.jpg,4041,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_160.jpg,4071,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_161.jpg,4142,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_162.jpg,4237,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_163.jpg,4065,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_164.jpg,4258,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_165.jpg,4041,24,100,100,,
train,Apple Granny Smith,Apple Granny Smith_166.jpg,4004,24,100,100,,
